52.15937241948802, 1525801.6895349578, 9, 62.222222222222214
59.54858243875586, 1543716.7170408748, 4, 5
69.21139554087529, 1564521.2651122622, 23, 244
79.44260941370769, 1590526.9502014965, 5, 10
84.55821635012387, 1608730.9297639607, 8, 12
89.10542251582714, 1621733.7723085778, 4, 5
94.22102945224333, 1642538.320379965, 5, 10
99.33663638865951, 1663342.8684513527, 4, 5
104.4522433250757, 1676345.7109959698, 10, 22.5
109.56785026149188, 1694549.6905584338, 4, 5
114.11505642719516, 1715354.2386298212, 4, 5
129.4618772364437, 1782969.0198618304, 5, 10
139.12469033856317, 1829779.2530224524, 4, 5
